Register writeback output (hexadecimal)
PC 0000:addi    | r02=8       
PC 0004:lui     | r03=2000    
PC 0008:addi    | r03=27bb    
PC 000c:slli    | r03=27bb0000
PC 0010:lui     | r01=3000    
PC 0014:addi    | r01=2ee6    
PC 0018:or      | r03=27bb2ee6
PC 001c:lui     | r01=1000    
PC 0020:addi    | r01=87b     
PC 0024:slli    | r03=b2ee6000
PC 0028:or      | r03=b2ee687b
PC 002c:addi    | r01=b0      
PC 0030:slli    | r03=e687b000
PC 0034:or      | r03=e687b0b0
PC 0038:addi    | r01=fd      
PC 003c:slli    | r03=87b0b000
PC 0040:or      | r03=87b0b0fd
PC 0044:lui     | r04=1000    
PC 0048:addi    | r04=b50     
PC 004c:slli    | r04=b50000  
PC 0050:addi    | r01=4f3     
PC 0054:or      | r04=b504f3  
PC 0058:addi    | r01=2d      
PC 005c:slli    | r04=b504f30 
PC 0060:or      | r04=b504f3d 
PC 0064:addi    | r05=0       
PC 0068:addi    | r05=1       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=3d8587e8
PC 0074:add     | r11=48d5d725
PC 0078:mul     | r12=6baf0f91
PC 007c:add     | r12=76ff5ece
PC 0080:mul     | r13=fb2e5196
PC 0084:add     | r13=67ea0d3 
PC 0088:mul     | r02=4fc60087
PC 008c:add     | r02=5b164fc4
PC 0090:srli    | r11=48d5    
PC 0094:srli    | r12=76ff    
PC 0098:srli    | r13=67e     
PC 009c:srli    | r14=5b16    
PC 00a0:addi    | r01=3d      
PC 00a4:bne     | ---
PC 0068:addi    | r05=2       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=8ea394b4
PC 0074:add     | r11=99f3e3f1
PC 0078:mul     | r12=9f6df52d
PC 007c:add     | r12=aabe446a
PC 0080:mul     | r13=7bf27cc2
PC 0084:add     | r13=8742cbff
PC 0088:mul     | r02=5192eb03
PC 008c:add     | r02=5ce33a40
PC 0090:srli    | r11=99f3    
PC 0094:srli    | r12=aabe    
PC 0098:srli    | r13=8742    
PC 009c:srli    | r14=5ce3    
PC 00a0:addi    | r01=4d      
PC 00a4:bne     | ---
PC 0068:addi    | r05=3       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=d09c9140
PC 0074:add     | r11=dbece07d
PC 0078:mul     | r12=745fcb89
PC 007c:add     | r12=7fb01ac6
PC 0080:mul     | r13=159295ae
PC 0084:add     | r13=20e2e4eb
PC 0088:mul     | r02=cc2dcc3f
PC 008c:add     | r02=d77e1b7c
PC 0090:srli    | r11=dbec    
PC 0094:srli    | r12=7fb0    
PC 0098:srli    | r13=20e2    
PC 009c:srli    | r14=d77e    
PC 00a0:addi    | r01=5d      
PC 00a4:bne     | ---
PC 0068:addi    | r05=4       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=f3c6698c
PC 0074:add     | r11=ff16b8c9
PC 0078:mul     | r12=c1aecea5
PC 007c:add     | r12=ccff1de2
PC 0080:mul     | r13=b60be85a
PC 0084:add     | r13=c15c3797
PC 0088:mul     | r02=572ac03b
PC 008c:add     | r02=627b0f78
PC 0090:srli    | r11=ff16    
PC 0094:srli    | r12=ccff    
PC 0098:srli    | r13=c15c    
