Register writeback output (hexadecimal)
PC 0000:lui     | r01=1000    
PC 0004:jal     | r02=8       
PC 0018:lw      | r03=87b0b0fd
PC 001c:lw      | r04=b504f32d
PC 0020:addi    | r05=0       
PC 0024:addi    | r05=1       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=3d8587e8
PC 0030:add     | r11=f28a7b15
PC 0034:mul     | r12=98ea13c1
PC 0038:add     | r12=4def06ee
PC 003c:mul     | r13=9f9d7936
PC 0040:add     | r13=54a26c63
PC 0044:mul     | r02=8192dd7 
PC 0048:add     | r02=bd1e2104
PC 004c:srli    | r11=f28a7b15
PC 0050:sw      | ---
PC 0054:srli    | r12=4def06ee
PC 0058:sw      | ---
PC 005c:srli    | r13=54a26c63
PC 0060:sw      | ---
PC 0064:srli    | r14=bd1e2104
PC 0068:sw      | ---
PC 006c:addi    | r01=1020    
PC 0070:bne     | ---
PC 0024:addi    | r05=2       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=6c3960f4
PC 0030:add     | r11=213e5421
PC 0034:mul     | r12=f21fd49d
PC 0038:add     | r12=a724c7ca
PC 003c:mul     | r13=599452a2
PC 0040:add     | r13=e9945cf 
PC 0044:mul     | r02=f4c84d93
PC 0048:add     | r02=a9cd40c0
PC 004c:srli    | r11=213e5421
PC 0050:sw      | ---
PC 0054:srli    | r12=a724c7ca
PC 0058:sw      | ---
PC 005c:srli    | r13=e9945cf 
PC 0060:sw      | ---
PC 0064:srli    | r14=a9cd40c0
PC 0068:sw      | ---
PC 006c:addi    | r01=1040    
PC 0070:bne     | ---
PC 0024:addi    | r05=3       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=b05cfdc0
PC 0030:add     | r11=6561f0ed
PC 0034:mul     | r12=255e0a39
PC 0038:add     | r12=da62fd66
PC 003c:mul     | r13=e22a8dce
PC 0040:add     | r13=972f80fb
PC 0044:mul     | r02=1c2f080f
PC 0048:add     | r02=d133fb3c
PC 004c:srli    | r11=6561f0ed
PC 0050:sw      | ---
PC 0054:srli    | r12=da62fd66
PC 0058:sw      | ---
PC 005c:srli    | r13=972f80fb
PC 0060:sw      | ---
PC 0064:srli    | r14=d133fb3c
PC 0068:sw      | ---
PC 006c:addi    | r01=1060    
PC 0070:bne     | ---
PC 0024:addi    | r05=4       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=da588a4c
PC 0030:add     | r11=8f5d7d79
PC 0034:mul     | r12=7d83095 
PC 0038:add     | r12=bcdd23c2
PC 003c:mul     | r13=9281b6ba
PC 0040:add     | r13=4786a9e7
PC 0044:mul     | r02=e4b4b94b
PC 0048:add     | r02=99b9ac78
PC 004c:srli    | r11=8f5d7d79
PC 0050:sw      | ---
PC 0054:srli    | r12=bcdd23c2
PC 0058:sw      | ---
PC 005c:srli    | r13=4786a9e7
PC 0060:sw      | ---
PC 0064:srli    | r14=99b9ac78
PC 0068:sw      | ---
PC 006c:addi    | r01=1080    
PC 0070:bne     | ---
PC 0024:addi    | r05=5       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=6d91f298
PC 0030:add     | r11=2296e5c5
PC 0034:mul     | r12=c78883b1
